Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1362348,3387380,7088316,5479624,2022-12-22,14:37:13,0,1399079.2165545528,-17500.039050286872,-19231.177504265914,0.0
1371252,3378308,7088316,5470700,2022-12-22,14:37:18,5,1399087.6762231637,-11672.538873551703,-16163.13734961208,0.0
1371752,3377804,7088316,5470220,2022-12-22,14:37:23,10,1399096.133549803,-11164.675520688697,-16179.458029114176,0.0
1371740,3377804,7088316,5470232,2022-12-22,14:37:28,15,1399104.5885323086,-11327.143583978403,-16037.444948330289,0.0
1372232,3377300,7088316,5469740,2022-12-22,14:37:33,20,1399113.0411685596,-10595.718926824571,-16285.322241734946,0.0
1372468,3377048,7088316,5469504,2022-12-22,14:37:38,25,1399121.4914564234,-10414.171288847972,-16239.320167575497,0.0
1372708,3376796,7088316,5469264,2022-12-22,14:37:43,30,1399129.9393939034,-10522.431250724678,-15899.508143178653,0.0
1372680,3376796,7088316,5469284,2022-12-22,14:37:48,35,1399138.3849790732,-10814.429688909162,-15643.9552901641,0.0
1372916,3376544,7088316,5469052,2022-12-22,14:37:53,40,1399146.8282099091,-10916.450281691632,-15314.377928217407,0.0
1372908,3376544,7088316,5469060,2022-12-22,14:37:58,45,1399155.2690846566,-11130.834132535014,-15116.434952121694,0.0
1372896,3376544,7088316,5469072,2022-12-22,14:38:03,50,1399163.707601506,-11557.490265391763,-14710.217336114263,0.0
1373268,3375284,7088316,5468668,2022-12-22,14:38:08,55,1399172.1437586728,-11503.750963087128,-14400.392795585562,0.0
1373508,3375032,7088316,5468424,2022-12-22,14:38:13,60,1399180.577554465,-11067.193452135669,-14605.384102329379,0.0
1373744,3374780,7088316,5468184,2022-12-22,14:38:18,65,1399189.0089873117,-10615.298516193116,-14829.710471118568,0.0
1374060,3374448,7088316,5467868,2022-12-22,14:38:23,70,1399197.438055505,-10347.47146379382,-14789.966591711156,0.0
1374804,3373692,7088316,5467124,2022-12-22,14:38:29,75,1399205.8647575832,-9879.56046853475,-14522.304289048538,0.0
1374268,3374212,7088316,5467660,2022-12-22,14:38:34,80,1399214.289092007,-10379.236787198188,-14567.052304808982,0.0
1374948,3373520,7088316,5466980,2022-12-22,14:38:39,85,1399222.711057366,-9954.339717381148,-14320.371339984937,0.0
1375184,3373268,7088316,5466744,2022-12-22,14:38:44,90,1399231.130652293,-9604.052573464229,-14443.078078828752,0.0
1375676,3372764,7088316,5466252,2022-12-22,14:38:49,95,1399239.5478753597,-8912.539089034934,-14651.008786324644,0.0
1376164,3372264,7088316,5465764,2022-12-22,14:38:54,100,1399247.962725374,-8312.419849576465,-14771.542875797488,0.0
1376732,3371680,7088316,5465196,2022-12-22,14:38:59,105,1399256.3752010646,-8108.408727972575,-14415.966473092092,0.0
1376136,3372264,7088316,5465792,2022-12-22,14:39:04,110,1399264.7853011757,-8571.884197902613,-14556.901103273034,0.0
1377616,3370756,7088316,5464300,2022-12-22,14:39:09,115,1399273.193024694,-7808.24658372185,-13848.946440972155,0.0
1377864,3370508,7088316,5464064,2022-12-22,14:39:14,120,1399281.5983704568,-7930.9157079046545,-13486.682662552223,0.0
1379096,3369252,7088316,5462832,2022-12-22,14:39:19,125,1399290.0013374367,-7448.072566948998,-12745.928770487662,0.0
1379848,3368496,7088316,5462080,2022-12-22,14:39:24,130,1399298.401924665,-6463.067509483881,-12987.334415181307,0.0
1380088,3368244,7088316,5461840,2022-12-22,14:39:29,135,1399306.8001311652,-6288.552179466981,-12930.247951698257,0.0
1380068,3368244,7088316,5461856,2022-12-22,14:39:34,140,1399315.1959560667,-6545.902387515415,-12701.293568551308,0.0
1379284,3369000,7088316,5462636,2022-12-22,14:39:39,145,1399323.5893984928,-6864.132318993734,-13175.457079499029,0.0
1379772,3368500,7088316,5462152,2022-12-22,14:39:44,150,1399331.9804576493,-6480.272814239556,-13079.707643409725,0.0
1380008,3368252,7088316,5461916,2022-12-22,14:39:49,155,1399340.369132781,-6164.882100268155,-13167.487032512669,0.0
1380244,3368000,7088316,5461676,2022-12-22,14:39:54,160,1399348.7554231286,-6747.406825244897,-12357.348597883713,0.0
1380232,3368000,7088316,5461680,2022-12-22,14:39:59,165,1399357.139328049,-6607.713208042318,-12517.426120006712,0.0
1380720,3367496,7088316,5461204,2022-12-22,14:40:04,170,1399365.520846919,-6484.376235156664,-12161.144611762371,0.0
1380456,3367748,7088316,5461468,2022-12-22,14:40:09,175,1399373.8999791234,-6571.127546877497,-12346.77243224578,0.0
1380940,3367248,7088316,5460972,2022-12-22,14:40:14,180,1399382.2767241509,-6222.8031962255745,-12219.473527925322,0.0
1380928,3367248,7088316,5460984,2022-12-22,14:40:19,185,1399390.6510814738,-6341.867675533484,-12120.783405940281,0.0
1380160,3368004,7088316,5461756,2022-12-22,14:40:24,190,1399399.0230506565,-7086.667511906918,-12152.355538749602,0.0
1380388,3367756,7088316,5461536,2022-12-22,14:40:29,195,1399407.3926312465,-6853.4771846223175,-12165.91544662416,0.0
1379872,3368260,7088316,5462052,2022-12-22,14:40:34,200,1399415.7598229302,-7330.968497132464,-12212.791325797793,0.0
1378592,3369524,7088316,5463332,2022-12-22,14:40:39,205,1399424.124625345,-8603.12601172815,-12228.998613616917,0.0
1378068,3370036,7088316,5463856,2022-12-22,14:40:44,210,1399432.4870381819,-8771.365812937858,-12593.1212252439,0.0
1377548,3370540,7088316,5464376,2022-12-22,14:40:49,215,1399440.8470612282,-8628.173568394408,-13264.67349283374,0.0
1377788,3370288,7088316,5464132,2022-12-22,14:40:55,220,1399449.204694276,-9085.014898642401,-12576.189795633545,0.0
1378276,3369784,7088316,5463644,2022-12-22,14:41:00,225,1399457.5599371486,-8622.31006098722,-12559.249876161339,0.0
1378264,3369784,7088316,5463660,2022-12-22,14:41:05,230,1399465.9127897415,-8275.083677151912,-12926.829112589592,0.0
1378252,3369784,7088316,5463664,2022-12-22,14:41:10,235,1399474.2632520166,-8316.770142135405,-12905.49310988118,0.0
1378236,3369784,7088316,5463688,2022-12-22,14:41:15,240,1399482.6113239336,-8265.527307508295,-12981.084016425302,0.0
