Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1369052,3764748,7088316,5478384,2022-12-24,20:48:20,0,1474920.08571491,-66243.56078435485,-39624.52493055514,0.0
1370960,3762536,7088316,5476460,2022-12-24,20:48:25,5,1474959.0110841899,-65405.430415407856,-38593.58066878212,0.0
1371952,3761528,7088316,5475480,2022-12-24,20:48:30,10,1474997.9299050246,-63557.50494307475,-39488.42496194993,0.0
1372436,3761024,7088316,5474992,2022-12-24,20:48:35,15,1475036.8421698362,-63524.05583800723,-39076.78633182892,0.0
1372840,3759764,7088316,5474572,2022-12-24,20:48:40,20,1475075.7478710236,-63622.16469360409,-38613.58317741961,0.0
1373080,3759512,7088316,5474332,2022-12-24,20:48:45,25,1475114.6470011277,-64044.126201343286,-37990.520799784455,0.0
1373824,3758756,7088316,5473588,2022-12-24,20:48:50,30,1475153.5395528497,-64160.14617404923,-37169.39337880048,0.0
1374312,3758252,7088316,5473100,2022-12-24,20:48:55,35,1475192.425519078,-62851.06555600301,-38029.359963075025,0.0
1375056,3757496,7088316,5472356,2022-12-24,20:49:00,40,1475231.3048926138,-62742.90946203035,-37432.39543058351,0.0
1375528,3756992,7088316,5471868,2022-12-24,20:49:05,45,1475270.177666667,-62279.47249996534,-37462.70516670169,0.0
1376244,3756264,7088316,5471164,2022-12-24,20:49:10,50,1475309.0438344118,-61238.09036693883,-37826.95346747292,0.0
1376208,3756264,7088316,5471188,2022-12-24,20:49:15,55,1475347.9033891445,-62283.33620977593,-36856.567179368576,0.0
1376196,3756264,7088316,5471196,2022-12-24,20:49:20,60,1475386.756324338,-62330.42644010776,-36860.32988423016,0.0
1376196,3756264,7088316,5471204,2022-12-24,20:49:25,65,1475425.602633622,-61843.824859608896,-37385.77777401311,0.0
1376180,3756264,7088316,5471220,2022-12-24,20:49:30,70,1475464.4423105887,-61645.46886594424,-37638.97344464436,0.0
1376140,3756264,7088316,5471240,2022-12-24,20:49:35,75,1475503.2753491665,-61372.292683025626,-37990.98266614089,0.0
1376124,3756264,7088316,5471264,2022-12-24,20:49:40,80,1475542.1017432346,-62579.11485908733,-36838.98688414716,0.0
1376616,3755760,7088316,5470764,2022-12-24,20:49:45,85,1475580.9214869305,-61954.85598377691,-37010.065503153484,0.0
1377116,3755256,7088316,5470272,2022-12-24,20:49:50,90,1475619.7345744444,-61263.94552004332,-37239.789054400986,0.0
1377344,3755004,7088316,5470036,2022-12-24,20:49:55,95,1475658.5410000593,-61118.21452481249,-37196.32647524681,0.0
1377568,3754780,7088316,5469824,2022-12-24,20:50:00,100,1475697.340758291,-59753.56574928701,-38375.775009004166,0.0
1377540,3754780,7088316,5469848,2022-12-24,20:50:05,105,1475736.1338436946,-60480.11541194811,-37716.0184317464,0.0
1377652,3754528,7088316,5469668,2022-12-24,20:50:10,110,1475774.9202508829,-61900.11095428411,-36222.80929659866,0.0
1377624,3754528,7088316,5469688,2022-12-24,20:50:15,115,1475813.6999748424,-61163.59778764548,-37026.10218719696,0.0
1378112,3754024,7088316,5469208,2022-12-24,20:50:20,120,1475852.473010455,-59687.80360561623,-38052.6694048387,0.0
