Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1344048,3790264,7088316,5504088,2022-12-26,21:30:58,0,1545560.3050740503,-124245.55702188598,-77266.74805216445,0.0
1346484,3787548,7088316,5501544,2022-12-26,21:31:03,5,1545584.7998665883,-123230.91820054062,-75869.88166604773,0.0
1346700,3787300,7088316,5501328,2022-12-26,21:31:08,10,1545609.2901846252,-122878.12272256093,-76031.16746206419,0.0
1347440,3786544,7088316,5500588,2022-12-26,21:31:13,15,1545633.7760257777,-122798.66061808777,-75395.11540768994,0.0
1347680,3786292,7088316,5500348,2022-12-26,21:31:18,20,1545658.257387501,-122891.17094410995,-75087.08644339093,0.0
1349312,3784552,7088316,5498668,2022-12-26,21:31:23,25,1545682.734267639,-121732.67055398799,-74638.06371365092,0.0
1350280,3783572,7088316,5497704,2022-12-26,21:31:28,30,1545707.206664352,-121231.74847457586,-74195.45818977617,0.0
1351288,3782564,7088316,5496700,2022-12-26,21:31:33,35,1545731.6745761088,-120373.11634249035,-74070.5582336185,0.0
1351624,3781332,7088316,5496328,2022-12-26,21:31:38,40,1545756.1380014746,-120792.59682438361,-73339.54117709096,0.0
1353108,3779824,7088316,5494828,2022-12-26,21:31:43,45,1545780.5969395114,-120442.17408161498,-72230.42285789642,0.0
1353848,3779068,7088316,5494108,2022-12-26,21:31:48,50,1545805.0513894367,-119190.74582383178,-72766.30556560494,0.0
1354100,3778816,7088316,5493856,2022-12-26,21:31:53,55,1545829.501350703,-118937.60354647691,-72791.89780422603,0.0
1355344,3777556,7088316,5492608,2022-12-26,21:31:58,60,1545853.9468230768,-119280.9363680474,-71229.01045502932,0.0
1356088,3776800,7088316,5491868,2022-12-26,21:32:03,65,1545878.3878066193,-117131.23273523698,-72659.15507138241,0.0
1356576,3776296,7088316,5491376,2022-12-26,21:32:08,70,1545902.8243015192,-118031.80870949317,-71295.01559202606,0.0
1356816,3776044,7088316,5491140,2022-12-26,21:32:13,75,1545927.256308381,-116800.2441484773,-72311.01215990377,0.0
1358304,3774536,7088316,5489644,2022-12-26,21:32:18,80,1545951.6838279862,-116058.14659963305,-71589.53722835309,0.0
1358536,3774284,7088316,5489408,2022-12-26,21:32:23,85,1545976.1068613965,-116525.43836443094,-70914.66849696543,0.0
1358524,3774284,7088316,5489428,2022-12-26,21:32:28,90,1546000.5254099562,-116245.73638880195,-71230.78902115417,0.0
1358524,3774284,7088316,5489432,2022-12-26,21:32:34,95,1546024.9394751824,-116314.90541073846,-71186.03406444401,0.0
1358508,3774284,7088316,5489448,2022-12-26,21:32:39,100,1546049.3490589885,-115359.50887683542,-72181.84018215304,0.0
1358996,3773780,7088316,5488956,2022-12-26,21:32:44,105,1546073.754163458,-114500.56073018689,-72577.19343327102,0.0
1360244,3772520,7088316,5487712,2022-12-26,21:32:49,110,1546098.1547908569,-114194.106878219,-71660.04791263794,0.0
1361232,3771512,7088316,5486720,2022-12-26,21:32:54,115,1546122.5509439562,-114166.83903678169,-70723.71190717444,0.0
1362196,3770504,7088316,5485736,2022-12-26,21:32:59,120,1546146.9426255499,-113036.84484666132,-70914.09777888865,0.0
1363452,3769248,7088316,5484492,2022-12-26,21:33:04,125,1546171.329838778,-113071.9392939186,-69647.39054485923,0.0
1363436,3769248,7088316,5484508,2022-12-26,21:33:09,130,1546195.7125870776,-112804.29157813342,-69955.42100894428,0.0
1363424,3769248,7088316,5484520,2022-12-26,21:33:14,135,1546220.0908740887,-112507.59969739821,-70288.49117669044,0.0
1363412,3769248,7088316,5484532,2022-12-26,21:33:19,140,1546244.4647036954,-112868.99067320721,-69963.47403048817,0.0
1363396,3769248,7088316,5484548,2022-12-26,21:33:24,145,1546268.834080085,-112964.76654142483,-69908.06753866002,0.0
1363384,3769248,7088316,5484560,2022-12-26,21:33:29,150,1546293.1990076588,-112768.55639735537,-70140.64261030336,0.0
1363368,3769248,7088316,5484576,2022-12-26,21:33:34,155,1546317.5594911284,-112263.60170794935,-70685.95778317912,0.0
1363356,3769248,7088316,5484588,2022-12-26,21:33:39,160,1546341.9155353538,-112360.30200266319,-70625.61353269056,0.0
1363592,3768996,7088316,5484348,2022-12-26,21:33:44,165,1546366.2671455585,-112495.39088146802,-70278.87626409042,0.0
